

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

613.001  000.140  000.140: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/lightline.vim/autoload/lightline/tab.vim
615.334  001.146  001.146: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/lightline.vim/autoload/lightline/colorscheme.vim
617.839  004.419  003.273: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/gruvbox/autoload/lightline/colorscheme/gruvbox.vim
629.852  024.328: BufEnter autocommands
629.865  000.013: editing files in windows
630.902  000.248  000.248: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/denops/util.vim
631.721  001.184  000.936: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/denops/server.vim
632.161  000.167  000.167: sourcing /home/coma/.local/share/nvim/site/pack/jetpack/opt/_/autoload/denops/job.vim
644.364  013.148: VimEnter autocommands
644.477  000.114: UIEnter autocommands
644.482  000.005: before starting main loop
646.608  002.126: first screen update
646.617  000.008: --- NVIM STARTED ---
